0x0,NO_EVENT
0x1E,CH_DOWN
0x1F,CH_UP
0x8,RX_PLCP_END
0x29,RX_MAC_HEADER_END
0x9,RX_END
0xB,RX_ERROR
0xD,QUEUE_OUT_UP
0x11,END_MICROWAVE_DETECTED
0x2,IFS_EXPIRED
0x1C,TX_END
0x1A,TX_SLOTTED,0x0,ALOHA_SLOTTED_PRM_10,0x1,TDMA_PRM_10-11-12,0x2,TDMA_MASK_PRM_09_10_12,0x3,LAST_SLOT
0x5,TX_10us_ELAPSED
0xC,END_TIMER,0x0,ACK_TIMER,0x1,BEACON_TIMER,0x2,TIMER_1,0x3,TIMER_2
0x3,equal(PRM/VAR/REGISTER),0x0,BACKOFF_VALUE,0x1,CHANNEL,0x2,TIMER_1,0x2,TIMER_2,0xF,NULL,:,:,0x0,0,0x1,1,0x2,PRM_2,0x3,PRM_3,0x4,VAR_1,0x5,VAR_2,0xF,NULL
0x4,greater(PRM/VAR/REGISTER),0x0,VAR_1,0x1,VAR_2,0x2,VAR_3,0x5,RETRANSMIT_NUM,0x6,RANDOM_VALUE,0xF,NULL,:,:,0x0,PRM_13,0x1,CURRENT_CW,0x2,BUSY_TIME,0x3,PRM_09,0x04,PRM_14,0x5,BACKOFF,0xF,NULL

